Date, Open, High, Low, Close, Volume
07/21/15, 4.915, 5.0175, 4.915, 4.9475, 14972040
07/20/15, 5.0175, 5.0375, 4.9125, 4.925, 18841036
07/17/15, 5.03, 5.035, 4.9525, 5.0175, 22037232
07/16/15, 4.9675, 5.0475, 4.95, 5.0475, 28289164
07/15/15, 4.96, 4.9925, 4.8925, 4.9375, 26573392
07/14/15, 4.9775, 4.9825, 4.9075, 4.9725, 24921716
07/13/15, 4.9875, 4.9975, 4.9363, 4.97, 21247164
07/10/15, 4.915, 4.9825, 4.9025, 4.9375, 21670868
07/09/15, 4.99, 5.0125, 4.8225, 4.8525, 35758980
07/08/15, 4.92, 4.95, 4.8725, 4.9125, 33249148
07/07/15, 5.0125, 5.0325, 4.79, 4.9475, 59425320
07/06/15, 5.0625, 5.1325, 5.0038, 5.0425, 21477652
07/02/15, 5.0975, 5.1375, 5.0725, 5.105, 14576460
07/01/15, 5.1525, 5.225, 5.055, 5.10, 30292004
06/30/15, 5.06, 5.0825, 4.9925, 5.0275, 31591428
06/29/15, 5.125, 5.1775, 5.0225, 5.03, 39172384
06/26/15, 5.25, 5.2925, 5.1625, 5.185, 42129480
